config,base_k,boosted_k,scale,provisional_fights,model,fold,n,log_loss,brier_score,accuracy,roc_auc
k_menor_24_48,24.0,48.0,400.0,3,win_rate,pooled test,7232,1.1962486200919973,0.2645095654909779,0.5777101769911505,0.5628423515462062
k_menor_24_48,24.0,48.0,400.0,3,elo,pooled test,7232,0.6833041758359018,0.24513373144542547,0.5577986725663717,0.555058131487618
sem_boost_k_igual_base,32.0,32.0,400.0,3,win_rate,test (simple split),3872,1.1800998618884126,0.26257890433284453,0.5872933884297521,0.5760639020833385
sem_boost_k_igual_base,32.0,32.0,400.0,3,elo,test (simple split),3872,0.6853615365878376,0.24613971832544268,0.5575929752066116,0.5492544057840036
sem_boost_k_igual_base,32.0,32.0,400.0,3,win_rate,2011-01-01→2014-01-01,1004,1.1978649452633587,0.2650746555244955,0.5707171314741036,0.5495831586984757
sem_boost_k_igual_base,32.0,32.0,400.0,3,elo,2011-01-01→2014-01-01,1004,0.6863361690752808,0.24665009848816496,0.547808764940239,0.5298490739857
sem_boost_k_igual_base,32.0,32.0,400.0,3,win_rate,2014-01-01→2017-01-01,1441,1.314014813501889,0.2711753928717282,0.5787647467036781,0.5410734261668678
sem_boost_k_igual_base,32.0,32.0,400.0,3,elo,2014-01-01→2017-01-01,1441,0.6808808068941009,0.2439471124518697,0.5836224843858432,0.5669067026988016
sem_boost_k_igual_base,32.0,32.0,400.0,3,win_rate,2017-01-01→2020-01-01,1421,1.1300523625752907,0.26421554268140807,0.5496129486277269,0.5434029659061265
sem_boost_k_igual_base,32.0,32.0,400.0,3,elo,2017-01-01→2020-01-01,1421,0.6893609984243158,0.24812389333469562,0.5383532723434201,0.5299480264082034
sem_boost_k_igual_base,32.0,32.0,400.0,3,win_rate,2020-01-01→2023-01-01,1447,1.2016754453058385,0.26447803562577415,0.5888044229440221,0.5624161936593952
sem_boost_k_igual_base,32.0,32.0,400.0,3,elo,2020-01-01→2023-01-01,1447,0.6829993327186712,0.24495577135733665,0.5791292328956462,0.5627039534837728
sem_boost_k_igual_base,32.0,32.0,400.0,3,win_rate,2023-01-01→2026-01-01,1532,1.1522795115001245,0.26001945524702086,0.5900783289817232,0.5933852106487196
sem_boost_k_igual_base,32.0,32.0,400.0,3,elo,2023-01-01→2026-01-01,1532,0.6845144499892486,0.24573881140451542,0.5489556135770235,0.5554017959657244
sem_boost_k_igual_base,32.0,32.0,400.0,3,win_rate,2026-01-01→2029-01-01,387,1.150380571083884,0.25719553802787176,0.6046511627906976,0.6153098157852088
sem_boost_k_igual_base,32.0,32.0,400.0,3,elo,2026-01-01→2029-01-01,387,0.6842164303565873,0.24552742608304057,0.5736434108527132,0.5709578088704014
sem_boost_k_igual_base,32.0,32.0,400.0,3,win_rate,pooled test,7232,1.1962486200919973,0.2645095654909779,0.5777101769911505,0.5628423515462062
sem_boost_k_igual_base,32.0,32.0,400.0,3,elo,pooled test,7232,0.6846765300915901,0.24580897600577775,0.5609789823008849,0.550972321718799
boost_k_maior_96,32.0,96.0,400.0,3,win_rate,test (simple split),3872,1.1800998618884126,0.26257890433284453,0.5872933884297521,0.5760639020833385
boost_k_maior_96,32.0,96.0,400.0,3,elo,test (simple split),3872,0.6839556867483385,0.2454292278817215,0.556301652892562,0.5591049600870739
boost_k_maior_96,32.0,96.0,400.0,3,win_rate,2011-01-01→2014-01-01,1004,1.1978649452633587,0.2650746555244955,0.5707171314741036,0.5495831586984757
boost_k_maior_96,32.0,96.0,400.0,3,elo,2011-01-01→2014-01-01,1004,0.6854656723387751,0.24609101020784271,0.5707171314741036,0.5524610028259724
boost_k_maior_96,32.0,96.0,400.0,3,win_rate,2014-01-01→2017-01-01,1441,1.314014813501889,0.2711753928717282,0.5787647467036781,0.5410734261668678
boost_k_maior_96,32.0,96.0,400.0,3,elo,2014-01-01→2017-01-01,1441,0.6812238134526625,0.24409194232272263,0.5711311589174185,0.5593567943161178
