fight_id,event_id,event_name,bout,weight_class,method,ending_round,ending_time,time_format,referee,details,fight_duration_seconds,fighter_id,fighter_name,opponent_id,opponent_name,result,opponent_result,significant_strikes_landed,significant_strikes_attempted,total_strikes_landed,total_strikes_attempted,takedowns_landed,takedowns_attempted,head_strikes_landed,head_strikes_attempted,body_strikes_landed,body_strikes_attempted,leg_strikes_landed,leg_strikes_attempted,distance_strikes_landed,distance_strikes_attempted,clinch_strikes_landed,clinch_strikes_attempted,ground_strikes_landed,ground_strikes_attempted,knockdowns,submission_attempts,reversals,control_time_seconds,rounds_with_stats,significant_strikes_pct,takedown_pct
004885f7983f4658,aa79d5399571068e,UFC on FOX: Henderson vs Melendez,Matt Brown vs. Jordan Mein,Welterweight Bout,KO/TKO ,2,1:00,3 Rnd (5-5-5),John McCarthy,Elbows to Body On Ground ,60,2aa49b3766a59bcd,Jordan Mein,31123249b0bbf52e,Matt Brown,L,W,24.0,58.0,25.0,59.0,0.0,0.0,18.0,49.0,5.0,8.0,1.0,1.0,17.0,42.0,1.0,4.0,6.0,12.0,1.0,0.0,0.0,88.0,2.0,41.37931034482759,
004885f7983f4658,aa79d5399571068e,UFC on FOX: Henderson vs Melendez,Matt Brown vs. Jordan Mein,Welterweight Bout,KO/TKO ,2,1:00,3 Rnd (5-5-5),John McCarthy,Elbows to Body On Ground ,60,31123249b0bbf52e,Matt Brown,2aa49b3766a59bcd,Jordan Mein,W,L,40.0,84.0,41.0,85.0,0.0,1.0,27.0,67.0,13.0,16.0,0.0,1.0,17.0,54.0,12.0,17.0,11.0,13.0,0.0,1.0,0.0,35.0,2.0,47.61904761904761,0.0
00494c77d2a88f8c,6083f497c22cc075,UFC Fight Night: Dos Anjos vs. Ferguson,Beneil Dariush vs. Rashid Magomedov,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Derek Cleary 27 - 30.Sal D'amato 27 - 30.Chris Lee 28 - 29.,300,08af939f41b5a57b,Beneil Dariush,7ea1f74cef32f906,Rashid Magomedov,W,L,60.0,120.0,73.0,134.0,0.0,5.0,20.0,61.0,28.0,44.0,12.0,15.0,25.0,71.0,35.0,49.0,0.0,0.0,0.0,0.0,0.0,250.0,3.0,50.0,0.0
00494c77d2a88f8c,6083f497c22cc075,UFC Fight Night: Dos Anjos vs. Ferguson,Beneil Dariush vs. Rashid Magomedov,Lightweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Herb Dean,Derek Cleary 27 - 30.Sal D'amato 27 - 30.Chris Lee 28 - 29.,300,7ea1f74cef32f906,Rashid Magomedov,08af939f41b5a57b,Beneil Dariush,L,W,41.0,78.0,79.0,129.0,1.0,2.0,24.0,55.0,14.0,20.0,3.0,3.0,28.0,57.0,13.0,19.0,0.0,2.0,0.0,0.0,0.0,161.0,3.0,52.56410256410257,50.0
004b9368337d3cd6,2549d63da9c456cb,UFC 84: Ill Will,Rameau Thierry Sokoudjou vs. Kazuhiro Nakamura,Light Heavyweight Bout,KO/TKO ,1,5:00,3 Rnd (5-5-5),Steve Mazzagatti,toLeg Injury,300,b034747dc1d15491,Kazuhiro Nakamura,d1152823307d7e7c,Rameau Thierry Sokoudjou,L,W,6.0,23.0,6.0,23.0,0.0,0.0,1.0,18.0,5.0,5.0,0.0,0.0,6.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,26.08695652173913,
004b9368337d3cd6,2549d63da9c456cb,UFC 84: Ill Will,Rameau Thierry Sokoudjou vs. Kazuhiro Nakamura,Light Heavyweight Bout,KO/TKO ,1,5:00,3 Rnd (5-5-5),Steve Mazzagatti,toLeg Injury,300,d1152823307d7e7c,Rameau Thierry Sokoudjou,b034747dc1d15491,Kazuhiro Nakamura,W,L,26.0,46.0,29.0,49.0,0.0,0.0,7.0,27.0,6.0,6.0,13.0,13.0,20.0,40.0,4.0,4.0,2.0,2.0,1.0,0.0,0.0,3.0,1.0,56.52173913043478,
0051d7fbb7893d27,60884f31ead1609c,UFC Fight Night: Machida vs Munoz,Andy Ogle vs. Cole Miller,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Leon Roberts,Howard Hughes 28 - 29.Andy Roberts 28 - 29.Chris Watts 28 - 29.,300,282fa667ff9c51ed,Cole Miller,b6c4451cb13c9303,Andy Ogle,W,L,21.0,40.0,55.0,75.0,0.0,0.0,17.0,34.0,4.0,5.0,0.0,1.0,16.0,35.0,3.0,3.0,2.0,2.0,0.0,1.0,2.0,267.0,3.0,52.5,
0051d7fbb7893d27,60884f31ead1609c,UFC Fight Night: Machida vs Munoz,Andy Ogle vs. Cole Miller,Featherweight Bout,Decision - Unanimous ,3,5:00,3 Rnd (5-5-5),Leon Roberts,Howard Hughes 28 - 29.Andy Roberts 28 - 29.Chris Watts 28 - 29.,300,b6c4451cb13c9303,Andy Ogle,282fa667ff9c51ed,Cole Miller,L,W,27.0,51.0,112.0,138.0,2.0,6.0,14.0,34.0,8.0,12.0,5.0,5.0,23.0,42.0,0.0,0.0,4.0,9.0,0.0,0.0,0.0,464.0,3.0,52.94117647058824,33.33333333333333
00566b4d89565373,480b702debcb5433,UFC on FOX: Johnson vs. Benavidez 2,Urijah Faber vs. Michael McDonald,Bantamweight Bout,Submission ,2,3:22,3 Rnd (5-5-5),Herb Dean,Guillotine Choke On Ground ,202,78114b7199cef90c,Urijah Faber,d52ef694108f8235,Michael McDonald,W,L,29.0,46.0,59.0,79.0,1.0,2.0,20.0,35.0,5.0,7.0,4.0,4.0,22.0,38.0,0.0,1.0,7.0,7.0,1.0,1.0,0.0,175.0,2.0,63.04347826086957,50.0
00566b4d89565373,480b702debcb5433,UFC on FOX: Johnson vs. Benavidez 2,Urijah Faber vs. Michael McDonald,Bantamweight Bout,Submission ,2,3:22,3 Rnd (5-5-5),Herb Dean,Guillotine Choke On Ground ,202,d52ef694108f8235,Michael McDonald,78114b7199cef90c,Urijah Faber,L,W,9.0,27.0,11.0,29.0,0.0,0.0,6.0,24.0,1.0,1.0,2.0,2.0,9.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,2.0,33.33333333333333,
