model,fold,feature,coefficient,abs_coefficient
M1_Elo_Striking,2014-2017,total_str_attempted_per_fight_difference__missing,0.03839971464890573,0.03839971464890573
M2_Elo_Grappling,2014-2017,elo_difference,0.3452375866958015,0.3452375866958015
M2_Elo_Grappling,2014-2017,takedowns_per_fight_difference,0.17661839948460553,0.17661839948460553
M2_Elo_Grappling,2014-2017,td_attempted_per_fight_difference,0.039999114899973806,0.039999114899973806
M2_Elo_Grappling,2014-2017,td_pct_difference,0.025908454807291495,0.025908454807291495
M2_Elo_Grappling,2014-2017,submission_attempts_per_fight_difference,-0.02457298626340635,0.02457298626340635
M2_Elo_Grappling,2014-2017,reversals_per_fight_difference,-0.08094326605867691,0.08094326605867691
M2_Elo_Grappling,2014-2017,takedowns_per_fight_difference__missing,-0.008651649747798161,0.008651649747798161
M2_Elo_Grappling,2014-2017,td_attempted_per_fight_difference__missing,-0.008651649747798161,0.008651649747798161
M2_Elo_Grappling,2014-2017,td_pct_difference__missing,0.006312122178931493,0.006312122178931493
M2_Elo_Grappling,2014-2017,submission_attempts_per_fight_difference__missing,-0.008651649747798253,0.008651649747798253
M2_Elo_Grappling,2014-2017,reversals_per_fight_difference__missing,-0.008651649747798253,0.008651649747798253
M3_Elo_Dominance,2014-2017,elo_difference,0.3486474194395256,0.3486474194395256
M3_Elo_Dominance,2014-2017,knockdowns_per_fight_difference,0.0628921673423599,0.0628921673423599
M3_Elo_Dominance,2014-2017,control_time_per_fight_difference,0.13517487819358423,0.13517487819358423
M3_Elo_Dominance,2014-2017,knockdowns_per_fight_difference__missing,-0.23345160063059298,0.23345160063059298
M3_Elo_Dominance,2014-2017,control_time_per_fight_difference__missing,0.22419787023399865,0.22419787023399865
M4_Elo_All_Performance,2014-2017,elo_difference,0.31978117234079284,0.31978117234079284
M4_Elo_All_Performance,2014-2017,sig_str_landed_per_fight_difference,0.13047087324245757,0.13047087324245757
M4_Elo_All_Performance,2014-2017,sig_str_attempted_per_fight_difference,0.3133256121351612,0.3133256121351612
M4_Elo_All_Performance,2014-2017,sig_str_pct_difference,0.030319106731049296,0.030319106731049296
M4_Elo_All_Performance,2014-2017,total_str_landed_per_fight_difference,0.15303577652349803,0.15303577652349803
M4_Elo_All_Performance,2014-2017,total_str_attempted_per_fight_difference,-0.47729607636643195,0.47729607636643195
M4_Elo_All_Performance,2014-2017,takedowns_per_fight_difference,0.22505656456163903,0.22505656456163903
M4_Elo_All_Performance,2014-2017,td_attempted_per_fight_difference,0.04795623693746369,0.04795623693746369
M4_Elo_All_Performance,2014-2017,td_pct_difference,0.005490909030191783,0.005490909030191783
M4_Elo_All_Performance,2014-2017,submission_attempts_per_fight_difference,0.011647890992738172,0.011647890992738172
M4_Elo_All_Performance,2014-2017,reversals_per_fight_difference,-0.07216203753900936,0.07216203753900936
M4_Elo_All_Performance,2014-2017,knockdowns_per_fight_difference,0.06305342458295711,0.06305342458295711
M4_Elo_All_Performance,2014-2017,control_time_per_fight_difference,0.001108508511792131,0.001108508511792131
M4_Elo_All_Performance,2014-2017,sig_str_landed_per_fight_difference__missing,-0.003185922447578167,0.003185922447578167
M4_Elo_All_Performance,2014-2017,sig_str_attempted_per_fight_difference__missing,-0.003185922447578167,0.003185922447578167
M4_Elo_All_Performance,2014-2017,sig_str_pct_difference__missing,-0.2159511787416626,0.2159511787416626
M4_Elo_All_Performance,2014-2017,total_str_landed_per_fight_difference__missing,-0.003185922447578167,0.003185922447578167
M4_Elo_All_Performance,2014-2017,total_str_attempted_per_fight_difference__missing,-0.003185922447578167,0.003185922447578167
M4_Elo_All_Performance,2014-2017,takedowns_per_fight_difference__missing,-0.003185922447578167,0.003185922447578167
M4_Elo_All_Performance,2014-2017,td_attempted_per_fight_difference__missing,-0.003185922447578167,0.003185922447578167
M4_Elo_All_Performance,2014-2017,td_pct_difference__missing,-0.007939495950831333,0.007939495950831333
M4_Elo_All_Performance,2014-2017,submission_attempts_per_fight_difference__missing,-0.003185922447578167,0.003185922447578167
M4_Elo_All_Performance,2014-2017,reversals_per_fight_difference__missing,-0.003185922447578167,0.003185922447578167
M4_Elo_All_Performance,2014-2017,knockdowns_per_fight_difference__missing,-0.003185922447578167,0.003185922447578167
M4_Elo_All_Performance,2014-2017,control_time_per_fight_difference__missing,0.23207271342374594,0.23207271342374594
M5_Performance_Only,2014-2017,sig_str_landed_per_fight_difference,0.10443927569237714,0.10443927569237714
M5_Performance_Only,2014-2017,sig_str_attempted_per_fight_difference,0.4509739931852725,0.4509739931852725
M5_Performance_Only,2014-2017,sig_str_pct_difference,0.053517498108870125,0.053517498108870125
M5_Performance_Only,2014-2017,total_str_landed_per_fight_difference,0.22403575162645073,0.22403575162645073
M5_Performance_Only,2014-2017,total_str_attempted_per_fight_difference,-0.6305252444152947,0.6305252444152947
M5_Performance_Only,2014-2017,takedowns_per_fight_difference,0.22245366405897926,0.22245366405897926
M5_Performance_Only,2014-2017,td_attempted_per_fight_difference,0.044046832337581825,0.044046832337581825
M5_Performance_Only,2014-2017,td_pct_difference,0.03762495870289455,0.03762495870289455
M5_Performance_Only,2014-2017,submission_attempts_per_fight_difference,0.051151533006382296,0.051151533006382296
M5_Performance_Only,2014-2017,reversals_per_fight_difference,-0.10558704603954804,0.10558704603954804
M5_Performance_Only,2014-2017,knockdowns_per_fight_difference,0.10707550029779213,0.10707550029779213
M5_Performance_Only,2014-2017,control_time_per_fight_difference,0.05317332269707035,0.05317332269707035
M5_Performance_Only,2014-2017,sig_str_landed_per_fight_difference__missing,-0.0058281202613609485,0.0058281202613609485
M5_Performance_Only,2014-2017,sig_str_attempted_per_fight_difference__missing,-0.0058281202613609485,0.0058281202613609485
M5_Performance_Only,2014-2017,sig_str_pct_difference__missing,-0.1594315987677646,0.1594315987677646
M5_Performance_Only,2014-2017,total_str_landed_per_fight_difference__missing,-0.0058281202613609485,0.0058281202613609485
M5_Performance_Only,2014-2017,total_str_attempted_per_fight_difference__missing,-0.0058281202613609485,0.0058281202613609485
M5_Performance_Only,2014-2017,takedowns_per_fight_difference__missing,-0.0058281202613609485,0.0058281202613609485
M5_Performance_Only,2014-2017,td_attempted_per_fight_difference__missing,-0.0058281202613609485,0.0058281202613609485
M5_Performance_Only,2014-2017,td_pct_difference__missing,-0.027374837542232057,0.027374837542232057
M5_Performance_Only,2014-2017,submission_attempts_per_fight_difference__missing,-0.0058281202613609485,0.0058281202613609485
M5_Performance_Only,2014-2017,reversals_per_fight_difference__missing,-0.0058281202613609485,0.0058281202613609485
M5_Performance_Only,2014-2017,knockdowns_per_fight_difference__missing,-0.0058281202613609485,0.0058281202613609485
M5_Performance_Only,2014-2017,control_time_per_fight_difference__missing,0.20754079797142475,0.20754079797142475
M1_Elo_Striking,2017-2020,elo_difference,0.3516402435826182,0.3516402435826182
M1_Elo_Striking,2017-2020,sig_str_landed_per_fight_difference,0.13532172246553742,0.13532172246553742
M1_Elo_Striking,2017-2020,sig_str_attempted_per_fight_difference,0.19995155834724776,0.19995155834724776
M1_Elo_Striking,2017-2020,sig_str_pct_difference,0.028637355288090163,0.028637355288090163
M1_Elo_Striking,2017-2020,total_str_landed_per_fight_difference,0.09857089361074413,0.09857089361074413
M1_Elo_Striking,2017-2020,total_str_attempted_per_fight_difference,-0.3298648468283375,0.3298648468283375
M1_Elo_Striking,2017-2020,sig_str_landed_per_fight_difference__missing,0.02124758314390859,0.02124758314390859
M1_Elo_Striking,2017-2020,sig_str_attempted_per_fight_difference__missing,0.02124758314390859,0.02124758314390859
M1_Elo_Striking,2017-2020,sig_str_pct_difference__missing,-0.09333744635878778,0.09333744635878778
M1_Elo_Striking,2017-2020,total_str_landed_per_fight_difference__missing,0.021247583143910433,0.021247583143910433
M1_Elo_Striking,2017-2020,total_str_attempted_per_fight_difference__missing,0.021247583143910433,0.021247583143910433
M2_Elo_Grappling,2017-2020,elo_difference,0.3485794241498242,0.3485794241498242
M2_Elo_Grappling,2017-2020,takedowns_per_fight_difference,0.113848363617467,0.113848363617467
M2_Elo_Grappling,2017-2020,td_attempted_per_fight_difference,0.019166728351821278,0.019166728351821278
M2_Elo_Grappling,2017-2020,td_pct_difference,0.009456738065413792,0.009456738065413792
M2_Elo_Grappling,2017-2020,submission_attempts_per_fight_difference,-0.0170788412916057,0.0170788412916057
M2_Elo_Grappling,2017-2020,reversals_per_fight_difference,-0.0571631654091866,0.0571631654091866
M2_Elo_Grappling,2017-2020,takedowns_per_fight_difference__missing,-0.004507983831747524,0.004507983831747524
M2_Elo_Grappling,2017-2020,td_attempted_per_fight_difference__missing,-0.004507983831747524,0.004507983831747524
M2_Elo_Grappling,2017-2020,td_pct_difference__missing,0.013123341253730504,0.013123341253730504
M2_Elo_Grappling,2017-2020,submission_attempts_per_fight_difference__missing,-0.00450798383174648,0.00450798383174648
M2_Elo_Grappling,2017-2020,reversals_per_fight_difference__missing,-0.00450798383174648,0.00450798383174648
M3_Elo_Dominance,2017-2020,elo_difference,0.3570421077920996,0.3570421077920996
M3_Elo_Dominance,2017-2020,knockdowns_per_fight_difference,0.04306438142075078,0.04306438142075078
M3_Elo_Dominance,2017-2020,control_time_per_fight_difference,0.050836675264730936,0.050836675264730936
M3_Elo_Dominance,2017-2020,knockdowns_per_fight_difference__missing,-0.23570888279907481,0.23570888279907481
M3_Elo_Dominance,2017-2020,control_time_per_fight_difference__missing,0.24086762745055768,0.24086762745055768
M4_Elo_All_Performance,2017-2020,elo_difference,0.33308078078185854,0.33308078078185854
M4_Elo_All_Performance,2017-2020,sig_str_landed_per_fight_difference,0.11228513679135109,0.11228513679135109
M4_Elo_All_Performance,2017-2020,sig_str_attempted_per_fight_difference,0.34974747965106995,0.34974747965106995
M4_Elo_All_Performance,2017-2020,sig_str_pct_difference,0.026481633883507067,0.026481633883507067
M4_Elo_All_Performance,2017-2020,total_str_landed_per_fight_difference,0.14009817326257307,0.14009817326257307
M4_Elo_All_Performance,2017-2020,total_str_attempted_per_fight_difference,-0.5081408652655354,0.5081408652655354
M4_Elo_All_Performance,2017-2020,takedowns_per_fight_difference,0.1857851737186219,0.1857851737186219
M4_Elo_All_Performance,2017-2020,td_attempted_per_fight_difference,0.026682854498096258,0.026682854498096258
M4_Elo_All_Performance,2017-2020,td_pct_difference,-0.006778270457913347,0.006778270457913347
M4_Elo_All_Performance,2017-2020,submission_attempts_per_fight_difference,0.01263653910062037,0.01263653910062037
M4_Elo_All_Performance,2017-2020,reversals_per_fight_difference,-0.03533188282942658,0.03533188282942658
M4_Elo_All_Performance,2017-2020,knockdowns_per_fight_difference,0.0400417198653397,0.0400417198653397
M4_Elo_All_Performance,2017-2020,control_time_per_fight_difference,-0.03234456571085013,0.03234456571085013
M4_Elo_All_Performance,2017-2020,sig_str_landed_per_fight_difference__missing,-0.010473349115988042,0.010473349115988042
M4_Elo_All_Performance,2017-2020,sig_str_attempted_per_fight_difference__missing,-0.010473349115988042,0.010473349115988042
M4_Elo_All_Performance,2017-2020,sig_str_pct_difference__missing,-0.15768677269715267,0.15768677269715267
M4_Elo_All_Performance,2017-2020,total_str_landed_per_fight_difference__missing,-0.010473349115988042,0.010473349115988042
M4_Elo_All_Performance,2017-2020,total_str_attempted_per_fight_difference__missing,-0.010473349115988042,0.010473349115988042
M4_Elo_All_Performance,2017-2020,takedowns_per_fight_difference__missing,-0.010473349115988042,0.010473349115988042
M4_Elo_All_Performance,2017-2020,td_attempted_per_fight_difference__missing,-0.010473349115988042,0.010473349115988042
M4_Elo_All_Performance,2017-2020,td_pct_difference__missing,0.009246855678606761,0.009246855678606761
M4_Elo_All_Performance,2017-2020,submission_attempts_per_fight_difference__missing,-0.010473349115988042,0.010473349115988042
M4_Elo_All_Performance,2017-2020,reversals_per_fight_difference__missing,-0.010473349115988042,0.010473349115988042
M4_Elo_All_Performance,2017-2020,knockdowns_per_fight_difference__missing,-0.010473349115988042,0.010473349115988042
M4_Elo_All_Performance,2017-2020,control_time_per_fight_difference__missing,0.2414097319567261,0.2414097319567261
M5_Performance_Only,2017-2020,sig_str_landed_per_fight_difference,0.1080994332988258,0.1080994332988258
M5_Performance_Only,2017-2020,sig_str_attempted_per_fight_difference,0.4183016266966347,0.4183016266966347
M5_Performance_Only,2017-2020,sig_str_pct_difference,0.051614156572753214,0.051614156572753214
M5_Performance_Only,2017-2020,total_str_landed_per_fight_difference,0.12852036296476196,0.12852036296476196
M5_Performance_Only,2017-2020,total_str_attempted_per_fight_difference,-0.535928483572644,0.535928483572644
M5_Performance_Only,2017-2020,takedowns_per_fight_difference,0.1923564592802138,0.1923564592802138
M5_Performance_Only,2017-2020,td_attempted_per_fight_difference,0.02251476582126397,0.02251476582126397
M5_Performance_Only,2017-2020,td_pct_difference,0.026761716346026736,0.026761716346026736
M5_Performance_Only,2017-2020,submission_attempts_per_fight_difference,0.04959005214684276,0.04959005214684276
M5_Performance_Only,2017-2020,reversals_per_fight_difference,-0.06584871221978343,0.06584871221978343
M5_Performance_Only,2017-2020,knockdowns_per_fight_difference,0.08522476684127295,0.08522476684127295
M5_Performance_Only,2017-2020,control_time_per_fight_difference,0.017906596264833995,0.017906596264833995
M5_Performance_Only,2017-2020,sig_str_landed_per_fight_difference__missing,-0.013958056413462103,0.013958056413462103
M5_Performance_Only,2017-2020,sig_str_attempted_per_fight_difference__missing,-0.013958056413462103,0.013958056413462103
M5_Performance_Only,2017-2020,sig_str_pct_difference__missing,-0.09279490263523987,0.09279490263523987
M5_Performance_Only,2017-2020,total_str_landed_per_fight_difference__missing,-0.013958056413462103,0.013958056413462103
M5_Performance_Only,2017-2020,total_str_attempted_per_fight_difference__missing,-0.013958056413462103,0.013958056413462103
M5_Performance_Only,2017-2020,takedowns_per_fight_difference__missing,-0.013958056413462103,0.013958056413462103
M5_Performance_Only,2017-2020,td_attempted_per_fight_difference__missing,-0.013958056413462103,0.013958056413462103
M5_Performance_Only,2017-2020,td_pct_difference__missing,-0.00758550962671676,0.00758550962671676
M5_Performance_Only,2017-2020,submission_attempts_per_fight_difference__missing,-0.013958056413462103,0.013958056413462103
M5_Performance_Only,2017-2020,reversals_per_fight_difference__missing,-0.013958056413462103,0.013958056413462103
M5_Performance_Only,2017-2020,knockdowns_per_fight_difference__missing,-0.013958056413462103,0.013958056413462103
M5_Performance_Only,2017-2020,control_time_per_fight_difference__missing,0.21281113537187743,0.21281113537187743
M1_Elo_Striking,2020-2023,elo_difference,0.30770485527912494,0.30770485527912494
M1_Elo_Striking,2020-2023,sig_str_landed_per_fight_difference,0.20245996568826308,0.20245996568826308
M1_Elo_Striking,2020-2023,sig_str_attempted_per_fight_difference,0.0023892837820633046,0.0023892837820633046
M1_Elo_Striking,2020-2023,sig_str_pct_difference,0.04098083281467689,0.04098083281467689
M1_Elo_Striking,2020-2023,total_str_landed_per_fight_difference,-0.01729816224805746,0.01729816224805746
M1_Elo_Striking,2020-2023,total_str_attempted_per_fight_difference,-0.10853825990824498,0.10853825990824498
M1_Elo_Striking,2020-2023,sig_str_landed_per_fight_difference__missing,0.005885430373467769,0.005885430373467769
M1_Elo_Striking,2020-2023,sig_str_attempted_per_fight_difference__missing,0.005885430373467769,0.005885430373467769
M1_Elo_Striking,2020-2023,sig_str_pct_difference__missing,0.0026755559730211867,0.0026755559730211867
